title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
沪东新村,1958,l2,pudong,45942,2021.01.26,上海市浦东新区沪东新村,"121.584488,31.262302"
沪东新村,1953,l2,pudong,38794,2020.12.19,上海市浦东新区沪东新村,"121.584488,31.262302"
沪东新村,1986,l2,pudong,45336,2020.12.06,上海市浦东新区沪东新村,"121.584488,31.262302"
沪东新村,1980,l2,pudong,41885,2021.02.27,上海市浦东新区沪东新村,"121.584488,31.262302"
沪东新村,1983,l3,pudong,37709,2019.12.09,上海市浦东新区沪东新村,"121.584488,31.262302"
沪东新村,1982,l3,pudong,47979,2017.08.12,上海市浦东新区沪东新村,"121.584488,31.262302"
西泥路小区,1994,l2,pudong,41915,2021.01.10,上海市浦东新区西泥路临河小区,"121.689185,31.193316"
禹洲金桥国际,2009,l3,pudong,23369,2016.04.16,上海市浦东新区禹洲金桥国际,"121.579338,31.255526"
禹洲金桥国际,2010,l3,pudong,40706,2017.05.11,上海市浦东新区禹洲金桥国际,"121.579338,31.255526"
香楠小区,1996,l3,pudong,34750,2015.12.20,上海市浦东新区香楠小区,"121.611183,31.199057"
香楠小区,1995,l3,pudong,54246,2019.10.22,上海市浦东新区香楠小区,"121.611183,31.199057"
香楠小区,1995,l2,pudong,53669,2021.11.23,上海市浦东新区香楠小区,"121.611183,31.199057"
香楠小区,1995,l3,pudong,65160,2021.05.15,上海市浦东新区香楠小区,"121.611183,31.199057"
香楠小区,1995,l3,pudong,66910,2021.08.07,上海市浦东新区香楠小区,"121.611183,31.199057"
金桥中环大厦,2007,l1,pudong,20991,2021.11.07,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
金桥中环大厦,2007,l1,pudong,16472,2021.11.03,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
金桥中环大厦,2007,l1,pudong,35292,2021.07.25,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
金桥中环大厦,2007,l1,pudong,19985,2020.04.17,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
金桥中环大厦,2007,l1,pudong,20375,2019.11.18,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
金桥中环大厦,2007,l1,pudong,16463,2016.08.09,上海市浦东新区金桥中环大厦,"121.615152,31.255055"
爱家新城,2007,l1,pudong,20249,2021.11.05,上海市浦东新区爱家新城,"121.752354,30.974216"
蓝色城邦(公寓),2010,l1,pudong,26716,2021.10.24,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l2,pudong,22658,2021.11.13,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l3,pudong,21184,2020.06.25,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l2,pudong,11572,2018.12.25,上海市浦东新区蓝色城邦,"121.811394,30.900974"
