title,build_time,price,unit_price,transaction_date,district,bedrooms
荡湾新村 2室1厅 51.32平米,高楼层(共6层) 1986年建板楼,142,27573,2021.10.02,pudong,l2
西北新村 2室1厅 51.47平米,中楼层(共5层) 1982年建板楼,143,27784,2021.10.01,pudong,l2
海鑫苑 2室0厅 56.32平米,低楼层(共6层) 2005年建板楼,190,33736,2021.09.19,pudong,l2
印象生活广场 3房间1卫 56.4平米,中楼层(共15层) 2014年建板楼,186,32814,2021.09.19,pudong,l2
荡湾新村 2室1厅 58.01平米,中楼层(共5层) 1983年建板楼,160,27582,2021.09.13,pudong,l2
听潮一村 2室2厅 61.57平米,低楼层(共6层) 1987年建板楼,160,25987,2021.09.12,pudong,l2
荡湾新村 2室1厅 50.89平米,中楼层(共5层) 1985年建板楼,141,27609,2021.09.12,pudong,l2
听潮六村 2室1厅 60平米,低楼层(共5层) 1994年建板楼,181,30167,2021.08.29,pudong,l2
绿地峰汇 3房间1卫 52.41平米,中楼层(共4层) 2010年建板楼,96,18318,2021.08.26,pudong,l2
听潮六村 2室2厅 68.26平米,中楼层(共5层) 1994年建板楼,198,29007,2021.08.22,pudong,l2
禹洲商业广场 2房间1卫 56.48平米,中楼层(共19层) 2015年建塔楼,60,10624,2021.08.12,pudong,l2
公益路东苑 2室1厅 68平米,中楼层(共5层) 1995年建板楼,186,27353,2021.08.07,pudong,l2
荡湾新村 2室1厅 54.9平米,中楼层(共5层) 1985年建板楼,148,26959,2021.08.01,pudong,l2
荡湾新村 2室1厅 64.43平米,高楼层(共6层) 1983年建板楼,160,24834,2021.08.01,pudong,l2
印象生活广场 3房间1卫 58.8平米,高楼层(共15层) 2014年建板楼,183,31055,2021.07.25,pudong,l2
西南新村 3室1厅 61.41平米,高楼层(共5层) 1980年建板楼,119,19378,2021.11.03,pudong,l3
西南新村 3室1厅 68.58平米,低楼层(共6层) 1982年建板楼,168,24497,2021.09.02,pudong,l3
荡湾新村 3室1厅 61.07平米,高楼层(共6层) 1985年建板楼,168,27510,2021.07.04,pudong,l3
荡湾新村 3室1厅 61.07平米,低楼层(共6层) 1986年建板楼,168,27510,2021.06.24,pudong,l3
荡湾新村 3室1厅 69.77平米,高楼层(共6层) 1983年建板楼,172,24538,2021.04.11,pudong,l3
荡湾新村 3室2厅 69.77平米,中楼层(共6层) 1983年建板楼,174,24882,2021.03.21,pudong,l3
荡湾新村 3室1厅 57.1平米,高楼层(共5层) 1985年建板楼,145,25395,2021.03.17,pudong,l3
荡湾新村 3室1厅 55.28平米,中楼层(共5层) 1985年建板楼,147,26592,2021.03.13,pudong,l3
听潮一村 3室1厅 60.66平米,高楼层(共6层) 1987年建板楼,147,24234,2021.03.06,pudong,l3
卫星东路50弄 3室1厅 58.18平米,中楼层(共4层) 1978年建板楼,161,27673,2021.01.18,pudong,l3
